titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Dreadlock Holiday;10CC;1978;62;61;43;45;41;52;59;61;37;47;113;303;91;214;298;192
I'm Not In Love;10CC;1975;42;53;27;53;50;64;71;95;60;64;138;437;154;272;404;290
The Wall Street Shuffle;10CC;1974;372;286;120;167;287;225;224;370;214;239;380;1112;410;873;1119;925
I'm Mandy Fly Me;10CC;1976;0;832;0;576;554;687;1046;857;734;757;909;1817;1127;1683;1858;1833
Donna;10CC;1973;741;536;401;541;507;530;651;643;342;487;729;0;784;1663;0;0
Feel The Love;10CC;1983;0;0;0;0;0;0;0;0;0;0;1714;0;1792;0;0;0
Good Morning Judge;10CC;1977;0;0;0;0;1305;1407;0;0;1576;1980;1940;0;1934;0;0;0
The Things We Do For Love;10CC;1976;1137;0;914;1066;1267;852;1134;1262;953;1069;1262;0;1348;0;0;0
Simon Says;1910 Fruitgum Company;1968;0;1631;1671;1972;0;1674;1931;0;0;0;0;0;0;0;0;0
Kryptonite;3 Doors Down;2007;0;0;0;0;0;0;0;0;0;0;0;0;1514;192;186;162
Here Without You;3 Doors Down;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;1862;1147;531
Watermensen;3JS;2008;0;0;0;0;0;0;0;0;0;0;1930;1015;373;872;549;863
Geloven In Het Leven;3JS;2010;0;0;0;0;0;0;0;0;0;0;0;819;642;1131;1255;1181
De Stroom;3JS;2011;0;0;0;0;0;0;0;0;0;0;0;0;926;1991;0;0
What's Up;4 Non Blondes;1993;0;0;1908;0;0;0;181;463;216;461;368;771;323;855;965;799
I'm On Fire;5000 Volts;1975;0;0;1377;0;0;1752;1864;0;0;0;0;0;0;0;0;0
Swim With Sam;A Balladeer;2002;0;0;0;0;0;0;0;0;550;0;1184;1096;958;1360;1411;1544
Dancing Queen;ABBA;1976;16;30;28;41;46;42;36;49;29;37;70;68;88;111;160;127
The Day Before You Came;ABBA;1982;76;73;65;65;55;91;65;104;44;57;78;91;139;191;183;133
The Winner Takes It All;ABBA;1980;35;92;106;103;77;133;113;140;94;107;121;104;176;201;197;135
Eagle;ABBA;1978;174;114;90;94;89;129;100;135;89;104;162;165;194;208;282;243
Thank You For The Music;ABBA;1978;50;201;264;267;248;210;170;243;137;178;284;310;409;374;460;376
Mamma Mia;ABBA;1975;0;616;0;1067;673;379;355;485;481;479;366;331;480;567;692;664
Happy New Year;ABBA;1980;138;382;349;503;426;320;417;402;225;330;552;552;619;643;815;771
I Have A Dream;ABBA;1979;288;607;0;650;416;362;268;395;198;309;447;416;511;707;860;784
Chiquitita;ABBA;1979;281;244;372;382;463;434;296;479;255;348;531;442;610;532;829;787
Waterloo;ABBA;1974;101;182;467;607;605;512;299;546;419;452;701;728;918;783;836;890
Lay All Your Love On Me;ABBA;1981;0;0;0;0;0;0;1259;1059;896;1477;692;738;911;961;953;945
Fernando;ABBA;1976;380;369;502;422;508;534;470;524;348;433;782;722;782;777;1109;1101
Does Your Mother Know;ABBA;1979;1163;882;1027;1051;1020;1069;825;1193;850;961;1128;981;1141;1089;1410;1262
Knowing Me Knowing You;ABBA;1977;541;753;721;904;706;823;759;917;663;746;1007;941;1103;1158;1368;1272
One Of Us;ABBA;1981;0;851;570;657;536;704;671;777;538;628;1060;1099;1068;1026;1284;1286
Gimme Gimme Gimme;ABBA;1979;0;0;851;865;1085;987;568;1019;768;839;1135;1210;1056;1022;1308;1305
Take A Chance On Me;ABBA;1977;0;694;610;1005;1257;1039;1218;1294;1153;1152;1397;1257;1557;1334;1523;1508
The Name Of The Game;ABBA;1977;750;769;936;1126;1481;1470;1485;1648;1269;1396;1442;1640;1752;1500;1690;1569
S.O.S.;ABBA;1975;463;640;530;731;728;940;942;1175;1098;949;1082;1053;1206;1377;1570;1665
Super Trouper;ABBA;1980;0;0;1176;1155;832;1334;1307;1407;1094;1205;1531;1433;1662;1801;1800;1857
Voulez-Vous;ABBA;1979;0;0;1413;1917;0;1801;1506;1963;1964;1828;1520;1692;1894;1748;1889;1974
Head Over Heels;ABBA;1982;0;0;0;0;0;1495;1607;1722;1478;1766;1989;0;0;0;0;0
Honey Honey;ABBA;1974;0;0;0;0;0;0;1853;0;0;0;1903;1664;1910;0;0;0
I Do I Do I Do;ABBA;1975;0;0;0;0;0;1781;1801;0;1525;0;0;0;0;0;0;0
Money Money Money;ABBA;1976;0;577;1004;1284;1463;1262;1051;1496;1232;1264;1420;1452;1354;1822;0;0
Ring Ring;ABBA;1973;0;0;1448;1869;0;0;0;0;0;0;0;0;0;0;0;0
